event_id,source_file,source_entry,extraction_mode,full_boundary_features_available,jet_only_features_available,MET_pt,MET_phi,N_jets,N_jets_30,N_jets_50,HT,leading_jet_pt,subleading_jet_pt,leading_jet_eta,jet_mass_sum_30,N_leptons,N_muons,N_electrons,N_btags_loose,N_btags_medium,N_btags_tight,N_b_hadron_flavour_proxy,N_PF_candidates,event_weight,missing_MET,missing_leptons,missing_btags,MET_fraction,N_objects,Visible_HT,Nb_missing,S_event_proxy,high_MET,high_multiplicity,R_reconstruction,B_event_jetonly,B_event_jetonly_z,B_event,B_event_z,B_event_status,N_PF_muon_proxy,N_PF_electron_proxy,N_PF_photon_proxy,N_PF_charged_hadron_proxy,N_PF_neutral_hadron_proxy,N_isolated_charged_hadron,packed_pt_word_sum,N_primary_vertices,N_good_primary_vertices,leading_pv_ndof,pv_abs_z_max,S_reco_proxy,B_event_reco,B_event_reco_z,enhanced_reco_proxy_available
0,0438B51F-9A50-8642-9963-CDB942DD12D9.root,0,uproot_edm_partial_jets,0,1,,,2,2,1,143.98879623413086,104.42098999023438,39.567806243896484,1.0888187885284424,18.996085166931152,,,,,,,0,1598,1.0,1,1,1,,2.0,143.98879623413086,1,1.0986122886681098,0,0,-0.30980026450517295,-1.3749574088395564,-0.39363382184412177,-0.6650396664639238,-0.25894256625641937,partial_jet_level_real_miniaod,1,1,138,624,77,2,23374020,23,21,102.35755157470703,6.964994430541992,3.737193314392487,-2.23336507738977,-0.4978739913610623,1
1,0438B51F-9A50-8642-9963-CDB942DD12D9.root,1,uproot_edm_partial_jets,0,1,,,2,2,2,216.28884506225586,156.26116943359375,60.02767562866211,1.1052417755126953,30.525419235229492,,,,,,,0,1535,1.0,1,1,1,,2.0,216.28884506225586,1,1.0986122886681098,0,0,-0.30980026450517295,-0.6029768595200873,-0.17262504581634963,-0.629195587166655,-0.2449861688467968,partial_jet_level_real_miniaod,4,1,117,612,69,7,22262722,22,18,93.19550323486328,8.451595306396484,3.769306703226551,0.5477770990884246,0.12211347506968205,1
2,0438B51F-9A50-8642-9963-CDB942DD12D9.root,2,uproot_edm_partial_jets,0,1,,,3,3,1,172.16184997558594,90.07363891601562,43.89142990112305,0.7402457594871521,33.323025703430176,,,,,,,0,2061,1.0,1,1,1,,3.0,172.16184997558594,1,1.3862943611198906,0,0,0.35268570320841036,0.15380807175099942,0.04403340694379732,0.863725814126632,0.33630381784753044,partial_jet_level_real_miniaod,2,2,227,962,87,2,30604619,28,24,67.72018432617188,6.397482872009277,3.9241491852259864,1.9743354746651254,0.44012969174126126,1
3,0438B51F-9A50-8642-9963-CDB942DD12D9.root,3,uproot_edm_partial_jets,0,1,,,5,5,3,376.7037010192871,167.31570434570312,81.27554321289062,1.8825398683547974,64.03104972839355,,,,,,,0,1814,1.0,1,1,1,,5.0,376.7037010192871,1,1.791759469228055,0,0,1.677657638635577,4.253724913863302,1.2177904451096766,3.4913697161945345,1.359414001375817,partial_jet_level_real_miniaod,1,0,176,793,79,8,26680869,24,19,190.45745849609375,8.038474082946777,3.9345669698630408,6.153081639303687,1.3716787040079357,1
4,0438B51F-9A50-8642-9963-CDB942DD12D9.root,4,uproot_edm_partial_jets,0,1,,,4,4,3,278.7610626220703,102.52848815917969,87.53932189941406,0.6409635543823242,40.05648994445801,,,,,,,0,1933,1.0,1,1,1,,4.0,278.7610626220703,1,1.6094379124341003,0,0,1.0151716709219938,3.002520205981613,0.8595855378838564,2.240165008312845,0.8722398156709492,partial_jet_level_real_miniaod,5,0,192,881,96,4,28549826,28,26,155.46551513671875,7.754822254180908,3.9950765605634317,5.537777958761776,1.234511833068685,1
5,0438B51F-9A50-8642-9963-CDB942DD12D9.root,5,uproot_edm_partial_jets,0,1,,,2,2,2,326.56681060791016,227.0672607421875,99.49954986572266,0.14686031639575958,47.34198760986328,,,,,,,0,1891,1.0,1,1,1,,2.0,326.56681060791016,1,1.0986122886681098,0,0,-0.30980026450517295,-0.5483045293373414,-0.15697301314930048,-0.574523256983909,-0.223698726616452,partial_jet_level_real_miniaod,2,0,205,846,88,4,27770115,26,25,162.9083709716797,6.479808330535889,3.9300593679142444,2.7569551434643023,0.6145955603838003,1
6,0438B51F-9A50-8642-9963-CDB942DD12D9.root,6,uproot_edm_partial_jets,0,1,,,2,2,2,163.62326431274414,109.76441955566406,53.85884475708008,-1.9029000997543335,23.476123809814453,,,,,,,0,1529,1.0,1,1,1,,2.0,163.62326431274414,1,1.0986122886681098,0,0,-0.30980026450517295,-0.6290867900556787,-0.18010000589782857,-0.6553055177022464,-0.25515243825687817,partial_jet_level_real_miniaod,4,0,112,566,109,4,22361613,20,19,78.80409240722656,5.5179829597473145,3.720620339897999,-1.1900092447284694,-0.2652833871307678,1
7,0438B51F-9A50-8642-9963-CDB942DD12D9.root,7,uproot_edm_partial_jets,0,1,,,3,3,1,236.44051361083984,164.78024291992188,36.1272087097168,0.9899725317955017,50.31332874298096,,,,,,,0,2102,1.0,1,1,1,,3.0,236.44051361083984,1,1.3862943611198906,0,0,0.35268570320841036,0.1856754017709515,0.05315664147242803,0.8955931441465841,0.34871181188340844,partial_jet_level_real_miniaod,1,0,199,1044,86,2,31100684,32,30,121.9287338256836,5.347236633300781,4.0434020834845255,4.072801771130648,0.9079313070414445,1
8,0438B51F-9A50-8642-9963-CDB942DD12D9.root,8,uproot_edm_partial_jets,0,1,,,2,2,2,221.39678192138672,157.96762084960938,63.429161071777344,-1.7222399711608887,45.88222026824951,,,,,,,0,1924,1.0,1,1,1,,2.0,221.39678192138672,1,1.0986122886681098,0,0,-0.30980026450517295,-0.6004445058523965,-0.17190006332157157,-0.6266632334989641,-0.24400016125890758,partial_jet_level_real_miniaod,3,1,194,888,76,2,28428145,30,28,44.172157287597656,9.255568504333496,3.9558484849681754,2.51950119604282,0.5616610241702475,1
9,0438B51F-9A50-8642-9963-CDB942DD12D9.root,9,uproot_edm_partial_jets,0,1,,,2,2,2,265.25384521484375,210.2906494140625,54.96319580078125,-1.752161979675293,28.840025424957275,,,,,,,0,1678,1.0,1,1,1,,2.0,265.25384521484375,1,1.0986122886681098,0,0,-0.30980026450517295,-0.5787015598943228,-0.16567531856904122,-0.6049202875408906,-0.23553423883612284,partial_jet_level_real_miniaod,0,0,154,687,94,1,24545570,25,22,108.7955322265625,9.021382331848145,3.7560707036542595,-1.3433201973659843,-0.2994603054867295,1
