event_id,source_file,source_entry,extraction_mode,full_boundary_features_available,jet_only_features_available,MET_pt,MET_phi,N_jets,N_jets_30,N_jets_50,HT,leading_jet_pt,subleading_jet_pt,leading_jet_eta,jet_mass_sum_30,N_leptons,N_muons,N_electrons,N_btags_loose,N_btags_medium,N_btags_tight,N_b_hadron_flavour_proxy,N_PF_candidates,event_weight,missing_MET,missing_leptons,missing_btags,MET_fraction,N_objects,Visible_HT,Nb_missing,S_event_proxy,high_MET,high_multiplicity,R_reconstruction,B_event_jetonly,B_event_jetonly_z,B_event,B_event_z,B_event_status
0,0438B51F-9A50-8642-9963-CDB942DD12D9.root,0,uproot_edm_partial_jets,0,1,,,2,2,1,143.98879623413086,104.42098999023438,39.567806243896484,1.0888187885284424,18.996085166931152,,,,,,,0,,1.0,1,1,1,,2.0,143.98879623413086,1,1.0986122886681098,0,0,-0.30980026450517295,-1.3749574088395564,-0.39363382184412177,-0.6650396664639238,-0.25894256625641937,partial_jet_level_real_miniaod
1,0438B51F-9A50-8642-9963-CDB942DD12D9.root,1,uproot_edm_partial_jets,0,1,,,2,2,2,216.28884506225586,156.26116943359375,60.02767562866211,1.1052417755126953,30.525419235229492,,,,,,,0,,1.0,1,1,1,,2.0,216.28884506225586,1,1.0986122886681098,0,0,-0.30980026450517295,-0.6029768595200873,-0.17262504581634963,-0.629195587166655,-0.2449861688467968,partial_jet_level_real_miniaod
2,0438B51F-9A50-8642-9963-CDB942DD12D9.root,2,uproot_edm_partial_jets,0,1,,,3,3,1,172.16184997558594,90.07363891601562,43.89142990112305,0.7402457594871521,33.323025703430176,,,,,,,0,,1.0,1,1,1,,3.0,172.16184997558594,1,1.3862943611198906,0,0,0.35268570320841036,0.15380807175099942,0.04403340694379732,0.863725814126632,0.33630381784753044,partial_jet_level_real_miniaod
3,0438B51F-9A50-8642-9963-CDB942DD12D9.root,3,uproot_edm_partial_jets,0,1,,,5,5,3,376.7037010192871,167.31570434570312,81.27554321289062,1.8825398683547974,64.03104972839355,,,,,,,0,,1.0,1,1,1,,5.0,376.7037010192871,1,1.791759469228055,0,0,1.677657638635577,4.253724913863302,1.2177904451096766,3.4913697161945345,1.359414001375817,partial_jet_level_real_miniaod
4,0438B51F-9A50-8642-9963-CDB942DD12D9.root,4,uproot_edm_partial_jets,0,1,,,4,4,3,278.7610626220703,102.52848815917969,87.53932189941406,0.6409635543823242,40.05648994445801,,,,,,,0,,1.0,1,1,1,,4.0,278.7610626220703,1,1.6094379124341003,0,0,1.0151716709219938,3.002520205981613,0.8595855378838564,2.240165008312845,0.8722398156709492,partial_jet_level_real_miniaod
5,0438B51F-9A50-8642-9963-CDB942DD12D9.root,5,uproot_edm_partial_jets,0,1,,,2,2,2,326.56681060791016,227.0672607421875,99.49954986572266,0.14686031639575958,47.34198760986328,,,,,,,0,,1.0,1,1,1,,2.0,326.56681060791016,1,1.0986122886681098,0,0,-0.30980026450517295,-0.5483045293373414,-0.15697301314930048,-0.574523256983909,-0.223698726616452,partial_jet_level_real_miniaod
6,0438B51F-9A50-8642-9963-CDB942DD12D9.root,6,uproot_edm_partial_jets,0,1,,,2,2,2,163.62326431274414,109.76441955566406,53.85884475708008,-1.9029000997543335,23.476123809814453,,,,,,,0,,1.0,1,1,1,,2.0,163.62326431274414,1,1.0986122886681098,0,0,-0.30980026450517295,-0.6290867900556787,-0.18010000589782857,-0.6553055177022464,-0.25515243825687817,partial_jet_level_real_miniaod
7,0438B51F-9A50-8642-9963-CDB942DD12D9.root,7,uproot_edm_partial_jets,0,1,,,3,3,1,236.44051361083984,164.78024291992188,36.1272087097168,0.9899725317955017,50.31332874298096,,,,,,,0,,1.0,1,1,1,,3.0,236.44051361083984,1,1.3862943611198906,0,0,0.35268570320841036,0.1856754017709515,0.05315664147242803,0.8955931441465841,0.34871181188340844,partial_jet_level_real_miniaod
8,0438B51F-9A50-8642-9963-CDB942DD12D9.root,8,uproot_edm_partial_jets,0,1,,,2,2,2,221.39678192138672,157.96762084960938,63.429161071777344,-1.7222399711608887,45.88222026824951,,,,,,,0,,1.0,1,1,1,,2.0,221.39678192138672,1,1.0986122886681098,0,0,-0.30980026450517295,-0.6004445058523965,-0.17190006332157157,-0.6266632334989641,-0.24400016125890758,partial_jet_level_real_miniaod
9,0438B51F-9A50-8642-9963-CDB942DD12D9.root,9,uproot_edm_partial_jets,0,1,,,2,2,2,265.25384521484375,210.2906494140625,54.96319580078125,-1.752161979675293,28.840025424957275,,,,,,,0,,1.0,1,1,1,,2.0,265.25384521484375,1,1.0986122886681098,0,0,-0.30980026450517295,-0.5787015598943228,-0.16567531856904122,-0.6049202875408906,-0.23553423883612284,partial_jet_level_real_miniaod
10,0438B51F-9A50-8642-9963-CDB942DD12D9.root,10,uproot_edm_partial_jets,0,1,,,5,5,3,512.3386344909668,224.75450134277344,106.18338775634766,1.427159309387207,67.66264247894287,,,,,,,0,,1.0,1,1,1,,5.0,512.3386344909668,1,1.791759469228055,0,0,1.677657638635577,4.3209684273828595,1.2370414568506656,3.5586132297140916,1.3855962109986424,partial_jet_level_real_miniaod
11,0438B51F-9A50-8642-9963-CDB942DD12D9.root,11,uproot_edm_partial_jets,0,1,,,2,2,2,182.5403060913086,129.68035888671875,52.859947204589844,-1.6704312562942505,35.1771354675293,,,,,,,0,,1.0,1,1,1,,2.0,182.5403060913086,1,1.0986122886681098,0,0,-0.30980026450517295,-0.6197083185806105,-0.17741506195261728,-0.6459270462271782,-0.25150079822128557,partial_jet_level_real_miniaod
12,0438B51F-9A50-8642-9963-CDB942DD12D9.root,12,uproot_edm_partial_jets,0,1,,,2,2,2,233.05620574951172,157.05133056640625,76.00487518310547,-1.6663029193878174,44.368783950805664,,,,,,,0,,1.0,1,1,1,,2.0,233.05620574951172,1,1.0986122886681098,0,0,-0.30980026450517295,-0.5946641319933237,-0.1702452115863785,-0.6208828596398914,-0.24174949123654885,partial_jet_level_real_miniaod
